played_at,track_name,duration_ms,track_id,artist_name,artist_id,artist_genres,artist_img,album_name,album_id,album_release_year,album_label,album_img
2025-12-14T11:56:48.961Z,A fuego,323226,3WK3ejrcg2sOILqcxYaykU,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,"Yo, Minoría Absoluta",3FgvMxabfL5UtlcPzASEhh,2002,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e027d95383aa4544f540f26c513
2025-12-14T12:00:20.279Z,Bribriblibli - Versión 2004,199960,68l33GWbkYY2I1ZiPodIyE,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Dónde Están Mis Amigos,03L4vb7pXkv4UCTyniPGh7,1993,WM Spain,https://i.scdn.co/image/ab67616d00001e02a50b85c857e21bf1d07529fa
2025-12-14T12:02:49.280Z,Decidí - Versión 2004,153066,4rVcBjePUVQqRAlrKuikwJ,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
2025-12-14T12:12:57.229Z,Extremaydura,197783,4yJd2VKBjeiUzruqiF9cIV,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
2025-12-14T12:17:00.412Z,De acero,223733,3bHBZyPLWwpaWPs0waC7Cb,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Deltoya,022zIyy4TicgTuuqLco8t8,1992,WM Spain,https://i.scdn.co/image/ab67616d00001e02b0fe164a8c9de1fecce0061b
2025-12-14T12:23:23.870Z,Puta,322880,30M1XJhkJdkGrgXZ1TpXSS,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,"Yo, Minoría Absoluta",3FgvMxabfL5UtlcPzASEhh,2002,DRO/EastWest Spain,https://i.scdn.co/image/ab67616d00001e027d95383aa4544f540f26c513
2025-12-14T12:26:27.226Z,Bribriblibli - Versión 2004,199960,68l33GWbkYY2I1ZiPodIyE,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Dónde Están Mis Amigos,03L4vb7pXkv4UCTyniPGh7,1993,WM Spain,https://i.scdn.co/image/ab67616d00001e02a50b85c857e21bf1d07529fa
2025-12-14T15:03:55.932Z,Interludio,191971,7LmLjQrMxNYoM2Y6TCiuMk,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Mayéutica,435EcqpDZWWMVAzkBckrYt,2021,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e021b795629215228b32f14a7ab
2025-12-14T18:58:26.249Z,Interludio,191971,7LmLjQrMxNYoM2Y6TCiuMk,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Mayéutica,435EcqpDZWWMVAzkBckrYt,2021,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e021b795629215228b32f14a7ab
2025-12-14T19:05:24.694Z,Guerrero,379440,2STOG0u2WCpsBvPdXr4NkZ,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:14:54.543Z,Un Suspiro Acompasado,550626,4fE6tTCaea15gCHAHR9eJo,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:18:24.606Z,...Y Rozar Contigo,203440,5JCL5SDmXcn9vA3gr8EqiQ,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:24:54.727Z,Nana Cruel,404066,3D0ofNY5pXh2xxwx4xTALu,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:28:54.384Z,De Manera Urgente,227426,4SFCLTeXsqOqckf0XCNl3i,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:38:28.923Z,Por Ser un Pervertido,343653,363E6CguL6rpCXhd4j4e4J,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:39:58.948Z,Ruptura Leve,91840,4P3Kja8p9P0xDjql7zkBxm,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:45:58.499Z,Guerrero,379440,2STOG0u2WCpsBvPdXr4NkZ,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T19:53:29.022Z,Contra Todos,427626,4gFDQaSUj0xb1Y4zm5WCUD,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Lo Que Aletea en Nuestras Cabezas,7vrBmaIDGFTdQvbrPW35ET,2015,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0260f717882ba1e3f96c87fa7f
2025-12-14T23:51:36.646Z,El hombre pájaro,381000,1RO9fcejkWoqOFj6W4tFVI,Robe,3WQRkINylwwkw1Ya07ToRK,,https://i.scdn.co/image/ab67616100005174096d0658b90646baa62c5aaf,Se nos lleva el aire,6Dgq1Ptc2f9Er4LPgWSqSS,2023,El Dromedario Records,https://i.scdn.co/image/ab67616d00001e0222126a381d883f31736ce7d4
2025-12-15T10:19:26.224Z,Emparedado,254402,5tdcoELn1TD1gpqNnBAXt1,Extremoduro,3bgsNtcf5d5h9jbQbohfBK,,https://i.scdn.co/image/ab6761610000517412434039f9760438626cf90b,Rock Transgresivo,4f7hfg6zPldUQf9DY4ihqq,1989,WM Spain,https://i.scdn.co/image/ab67616d00001e029c8e10eba0904524f161f872
